Title,Author,PubYear,idx,Domain,CodedAge,Age,MeanAge,YoungOld,mean.e,mean.c,n.e,n.c,sd.e,sd.c
Both odor identification and ApoE-ε4 contribute to normative cognitive aging,Finkel et al (2011),2011,29,Spatial Reasoning,1,O,64.2,1,18.1192661,17.9855596,109,277,3.6810948,3.6761778
Both odor identification and ApoE-ε4 contribute to normative cognitive aging,Finkel et al (2011),2011,29,Construction,1,O,64.2,1,19.8348624,19.3043478,109,276,6.8725349,7.4965288
Brain network local interconnectivity loss in aging APOE-4 allele carriers,Brown et al (2011),2011,30,Spatial Long Term Memory,1,O,62.4,1,13.8,12.9,25,30,7.1,7.2
Brain Oxygen Extraction by Using MRI in Older Individuals: Relationship to Apolipoprotein E Genotype and Amyloid Burden,Lin et al (2019),2019,31,Composite,1,O,69.1,1,0.874,0.7,50,93,1.33,1.42
Catechol‐O‐methyltransferase genotype modulates cancer treatment‐related cognitive deficits in breast cancer survivors,Small et al (2011),2011,32,Spatial Working Memory,1,M,55.7087931,1,10.98,10.38,121,200,2.74,3.03
Cerebral metabolic and cognitive decline in persons at genetic risk for Alzheimer's disease,Small et al (2000),2000,33,Spatial Long Term Memory,1,O,66.4,1,-4.3,-4.7,27,27,2.4,2.8
Cholesterol and triglycerides moderate the effect of apolipoprotein E on memory functioning in older adults,de Frias et al. (2007),2007,34,Construction,1,O,66.72,1,0.5,0.29,75,180,1,0.92
"Cognitive Ability at Age 11 and 70 Years, Information Processing Speed, and APOE Variation: The Lothian Birth Cohort 1936 Study",Luciano et al (2009),2009,35,Construction,1,O,64.9,1,33.34,34.06,297,711,10.36,10.15
Cognitive activities and cognitive performance in middle-aged adults at risk for Alzheimer’s disease,Jonaitis et al (2013),2013,36,Spatial Reasoning,1,M,54,1,24.3074205,25.0167715,283,477,4.2627591,4.3254829
Cognitive activities and cognitive performance in middle-aged adults at risk for Alzheimer’s disease,Jonaitis et al (2013),2013,36,Spatial Reasoning,1,M,54,1,57.3074205,58.4528302,283,477,7.3557654,6.4100415
